Amygdala excitatory;Astrocyte;Bergmann glia;Cerebellar inhibitory;CGE interneuron;Choroid plexus;Committed oligodendrocyte precursor;Deep-layer corticothalamic and 6b;Deep-layer intratelencephalic;Deep-layer near-projecting;Eccentric medium spiny neuron;Ependymal;Fibroblast;Hippocampal CA1-3;Hippocampal CA4;Hippocampal dentate gyrus;LAMP5-LHX6 and Chandelier;Lower rhombic lip;Mammillary body;Medium spiny neuron;MGE interneuron;Microglia;Midbrain-derived inhibitory;Miscellaneous;Oligodendrocyte;Oligodendrocyte precursor;Splatter;Thalamic excitatory;Upper rhombic lip;Upper-layer intratelencephalic;Vascular
-8.594934e-02; 8.374410e-02; 9.429373e-02; 6.435659e-02; 9.362514e-02; 1.090228e-01; 4.540473e-02;-2.950959e-02;-3.527788e-02;-4.478561e-02;-1.482699e-02; 1.052395e-01; 4.597492e-02;-3.844169e-02; 1.302815e-02; 7.358984e-03;-2.157847e-02;-1.492295e-01;-2.765687e-02;-1.402775e-01;-1.161613e-01; 1.260208e-01; 7.816906e-03;-4.192105e-02; 6.254010e-02; 4.231498e-02;-6.146604e-02;-8.205425e-02; 3.972266e-02;-6.385039e-02; 1.287225e-01
-2.925585e-02;-2.344029e-02; 5.032078e-02; 3.125768e-02;-4.678474e-02;-4.153423e-03; 1.821406e-02; 7.386793e-02; 1.707346e-02; 7.770660e-02;-1.037749e-01;-5.327712e-02; 8.422712e-02; 1.474239e-02; 2.585312e-02; 2.180720e-02; 2.560996e-02;-1.085832e-02;-6.620850e-02;-2.547234e-02; 4.594647e-02; 1.370090e-02; 1.031541e-02;-4.698857e-03; 1.314608e-02; 4.634647e-02; 4.179291e-04; 3.600900e-03;-1.058823e-01; 1.815087e-02; 4.828294e-04
 5.103929e-02;-4.231860e-02; 2.572657e-02; 3.772153e-03;-1.730929e-02; 1.690519e-02; 1.333543e-02; 1.066282e-02; 4.547868e-02; 8.369694e-02;-5.401206e-03;-1.264818e-02; 5.678012e-02; 1.224624e-01; 6.841319e-02; 1.176461e-01;-5.378102e-02;-1.377841e-02; 3.585846e-02;-1.399064e-02; 9.174592e-03; 2.363615e-02;-4.751498e-02; 4.744349e-02; 1.447732e-02;-2.918492e-05; 4.529583e-02;-1.887625e-02; 2.760998e-02; 7.065038e-02; 5.767766e-02
 1.165128e-01;-4.786868e-02;-1.002237e-01; 6.408629e-02; 7.275034e-02;-1.139259e-01;-1.746247e-02; 2.619068e-02; 5.010740e-02; 7.253194e-02; 2.793905e-02; 5.850815e-03; 3.952524e-02;-1.196246e-02; 7.370989e-02; 1.428139e-01; 2.813480e-02; 7.992272e-02; 1.002382e-01; 4.029020e-03; 5.785883e-02;-3.300919e-02; 5.161175e-02; 3.092722e-02;-1.066377e-01; 2.473812e-02; 4.638912e-02; 3.636607e-02; 6.940733e-03; 5.973176e-02;-3.999074e-02
 3.599587e-02;-6.397211e-02; 1.190780e-02;-3.214716e-02;-4.729915e-02;-7.438504e-02;-5.659280e-02; 5.140420e-02; 4.007583e-02; 1.042373e-01;-3.908585e-02;-8.344673e-02; 2.618169e-03; 1.620967e-02; 7.407001e-02; 6.792744e-03;-1.124368e-02;-2.204284e-04;-2.558140e-02; 7.236098e-02;-3.315558e-02;-4.836860e-02; 5.408815e-02; 6.357920e-02;-6.767543e-02;-4.213208e-02;-9.436022e-03;-2.104517e-02; 7.843072e-02; 3.106049e-02;-3.325660e-04
-3.686686e-02; 7.756577e-03; 8.462154e-02;-4.962158e-02; 1.541463e-03;-9.329176e-02; 2.121421e-02;-1.038760e-01;-4.130711e-02;-5.226466e-02;-9.425223e-02;-2.076911e-02; 1.026945e-02;-7.664434e-02;-3.568594e-02;-5.289772e-02;-6.082137e-02; 2.355340e-03;-2.448101e-02;-6.135368e-02;-1.900839e-02;-1.440731e-02; 3.832504e-02;-6.246977e-02; 5.440861e-02;-2.531045e-02;-1.874429e-02;-8.291305e-02; 3.375874e-02;-4.174428e-02; 8.300038e-04
 7.213402e-02; 8.343245e-02; 1.288456e-01; 5.620381e-02; 4.098747e-02; 2.812712e-01; 3.607804e-03; 3.498584e-02; 4.201753e-02; 4.725338e-02; 1.381962e-02; 1.280788e-01; 2.036685e-01; 3.746200e-02; 6.247250e-02; 5.710627e-02; 6.952378e-02; 2.642031e-02; 6.835615e-02; 5.497430e-02; 4.104509e-02; 2.694482e-02; 9.053997e-02; 3.978946e-02; 3.043660e-02;-1.536080e-02; 5.250505e-02; 6.656142e-02; 6.096760e-02; 6.055600e-02; 1.983171e-02
 5.209483e-02;-3.125870e-02;-3.400880e-02;-5.158855e-04;-9.750118e-02; 1.145217e-01; 2.549556e-02;-2.327689e-02; 2.882677e-02; 2.177725e-02;-9.231118e-02; 6.744696e-03; 2.580428e-02;-2.420783e-03; 2.197169e-02; 1.192821e-01; 6.216989e-03; 1.401870e-02;-1.489228e-02; 3.878370e-02;-1.166219e-02;-7.530184e-02;-6.897113e-02; 8.530292e-03; 1.922356e-02; 9.642444e-04;-4.122281e-03;-6.397310e-02;-8.479342e-02; 7.558504e-02;-6.589811e-02
-1.188868e-01; 3.231969e-02; 9.418377e-02;-3.441879e-02; 1.334634e-02; 2.499646e-01; 8.570823e-02; 1.040508e-02;-2.167006e-02;-1.431905e-02;-5.160371e-02; 8.180609e-02;-2.676615e-02; 3.172438e-03;-1.326007e-02;-3.448367e-02;-2.559589e-02; 9.096087e-02;-2.892189e-02;-2.085796e-02;-1.547003e-01;-3.615086e-02;-5.825421e-02;-5.793297e-02; 8.412958e-02; 3.254037e-02;-7.281855e-02;-5.662035e-02;-1.157868e-02; 1.752108e-02;-4.422702e-02
 2.606985e-02;-6.711215e-02;-9.928704e-02;-1.691603e-02;-3.422766e-02; 4.440156e-02;-8.416721e-02;-3.308094e-02;-7.336721e-02;-5.761465e-02;-1.700065e-02; 5.272784e-02;-8.395081e-02; 9.813433e-03; 1.464140e-02; 3.697386e-02; 4.535871e-02;-2.012631e-02; 1.215604e-02; 7.160733e-02;-3.564855e-03;-1.019864e-02; 6.777626e-02;-2.202237e-02;-1.010703e-01;-3.187683e-02; 5.953037e-04; 3.129849e-02;-1.710088e-02;-6.119353e-02;-7.453901e-02
 8.727677e-02; 2.912825e-02;-3.766792e-02;-4.937581e-02;-1.446003e-01;-5.399927e-02;-4.934729e-02; 4.834796e-02; 9.714324e-02; 1.308272e-03; 4.282041e-02; 7.208182e-03;-1.902369e-02; 1.512144e-01; 1.345838e-01;-2.060722e-02;-3.175137e-02;-3.733197e-02;-6.359710e-02;-5.847361e-02;-1.563356e-02;-1.073525e-02;-2.455014e-03; 6.536013e-02;-8.118827e-02; 1.620150e-02;-7.596054e-02;-3.745282e-03;-9.560552e-02; 7.691555e-02; 3.277264e-02
 1.650263e-02;-5.432409e-02; 1.790907e-02; 1.022901e-01;-3.252586e-02;-7.881121e-02;-3.035569e-02;-1.655322e-02;-2.138154e-02; 6.645970e-04;-2.160425e-02;-7.463374e-02; 2.411510e-02; 7.130738e-03; 6.320987e-02;-2.637619e-02;-3.835489e-02;-3.419440e-03;-2.120644e-02; 4.793660e-02;-3.096709e-03;-7.466431e-03; 4.334965e-02; 5.166130e-02;-8.864880e-02;-3.307576e-02;-1.255785e-02;-3.841945e-02; 1.318599e-01; 4.889153e-02; 4.371482e-02
 3.079873e-02; 3.909766e-03;-1.210807e-02;-5.420174e-02; 7.872942e-03; 9.905884e-02; 2.283281e-02;-8.063122e-03;-9.378191e-03;-3.060220e-02;-4.299696e-02; 1.741592e-01; 8.250732e-03; 1.060462e-01; 1.600355e-01; 8.590368e-02;-6.856318e-02;-1.227451e-01; 3.342600e-03;-1.007790e-01;-1.988884e-03;-3.784896e-02; 1.219258e-02; 2.289943e-03;-8.033397e-03;-1.658645e-03;-3.217776e-02; 6.851216e-02; 3.712234e-03;-2.851901e-02;-2.494231e-02
 1.336224e-02;-3.085933e-02;-5.041582e-02;-2.088656e-02; 5.433765e-02;-4.205052e-03;-4.616898e-02; 2.062740e-02; 3.359851e-02; 5.694440e-02; 9.770621e-02;-6.292758e-02;-2.681053e-02; 6.984542e-03;-5.041828e-02;-3.201616e-02;-1.696755e-02;-3.165079e-02; 1.663000e-03;-4.658340e-02; 1.331182e-01;-5.703866e-02;-6.184487e-02;-1.816515e-03;-3.400259e-02;-7.445256e-02; 3.609727e-02;-5.637654e-02; 4.577498e-02;-1.122022e-03;-4.683057e-02
 1.340867e-01; 5.023877e-02;-4.223225e-02;-1.910378e-02;-3.986184e-02;-4.748207e-02;-2.544849e-02; 9.478831e-02; 5.329198e-02; 5.202816e-02;-2.145566e-02; 2.179554e-02;-6.287682e-02; 2.029633e-02; 1.333973e-02;-4.976423e-02;-3.519690e-02; 3.573671e-03;-1.327396e-02; 1.538251e-02; 1.927199e-03; 3.097478e-02; 1.407001e-02; 2.776531e-02;-3.032183e-02;-3.534262e-03;-1.506154e-02;-4.417994e-02;-3.279114e-02; 5.538567e-02;-5.015810e-03
 6.891272e-02;-9.194633e-02;-7.581210e-02;-1.375753e-02;-7.887176e-02; 8.042506e-02;-1.040038e-02; 3.620012e-02;-6.193903e-03;-4.155318e-02; 3.681382e-02;-8.124563e-02;-5.372488e-02;-1.000549e-02; 3.372881e-02; 7.958638e-02;-8.498870e-02;-7.536439e-02;-5.537528e-02;-9.584659e-02; 4.828016e-03; 6.945275e-02;-4.255319e-02;-6.612814e-03;-1.847825e-02;-8.170192e-02;-2.858949e-02;-8.834843e-02;-1.195154e-01;-7.651874e-03;-3.013787e-02
-4.660809e-02; 5.480056e-02; 1.218871e-01; 3.557511e-02;-3.483962e-02; 9.671549e-02;-1.958424e-02;-2.470010e-02; 7.877183e-03;-4.415105e-03; 2.789368e-03; 1.307997e-01; 5.752472e-02;-2.620995e-02; 6.052063e-02;-4.223148e-02; 2.731633e-02; 2.234376e-02;-5.936583e-03; 3.546968e-02;-7.984116e-02; 1.689583e-01; 3.109059e-02;-1.141950e-02;-6.535355e-03; 2.104620e-02; 3.233439e-02;-6.643646e-03;-4.922444e-03;-4.549424e-03; 1.406911e-01
 8.369081e-03; 1.583619e-01; 2.343906e-01;-6.527910e-02;-6.016770e-02; 2.345952e-01; 3.606919e-02;-9.692772e-02;-3.091372e-02;-4.512046e-02;-3.409941e-02; 1.834795e-01; 8.273164e-02;-6.324722e-02; 1.698282e-02; 1.341446e-02;-5.087778e-02;-2.483137e-02;-6.136634e-02;-9.155239e-02;-1.794986e-02;-1.297153e-02;-2.084249e-02; 2.766121e-02; 8.826847e-02; 4.538204e-02; 1.225427e-02;-9.331395e-02;-1.424673e-02; 3.128543e-02; 1.058510e-01
 1.039307e-02; 4.302934e-02; 4.957398e-02;-2.204319e-02;-2.735593e-02; 2.599270e-02; 1.537283e-02;-3.901294e-02;-4.024704e-02;-9.550664e-02;-4.735687e-03; 3.703383e-03;-3.625234e-02;-3.732013e-02;-8.041063e-02;-3.319329e-02;-6.584997e-02;-5.624455e-02;-2.811270e-02;-1.177836e-01;-4.872472e-03; 1.026826e-01;-8.338177e-02;-3.312385e-02; 3.634952e-02; 4.292099e-02;-1.060222e-01;-4.799596e-02;-3.107970e-02; 5.317755e-03; 6.289284e-02
 2.562540e-02;-3.984177e-02; 5.453551e-02; 3.730292e-02; 6.734732e-02; 7.011534e-02;-5.553054e-03; 6.677971e-02; 3.665846e-03; 6.196670e-02; 2.155255e-02; 9.007248e-02; 3.239874e-03; 4.762905e-02; 1.393081e-02; 1.357045e-02; 5.579627e-02; 4.892295e-02; 2.441946e-02; 4.109220e-02; 5.682371e-02;-6.893469e-02; 1.153906e-02; 4.614888e-02;-3.435310e-02; 7.541772e-03; 3.195671e-02; 3.994889e-02; 5.759953e-02; 3.597428e-02; 3.491033e-02
-4.291680e-03;-1.026392e-01;-1.249208e-01; 3.606242e-02;-3.107020e-02;-2.572560e-02; 7.012840e-03;-9.131217e-05; 2.384129e-02;-5.403787e-02;-6.780232e-02;-9.775887e-02; 1.796462e-03;-7.422702e-02;-4.704375e-02; 3.681013e-02;-9.869700e-03; 7.348763e-03; 3.856061e-03; 6.366187e-03; 5.355803e-02; 1.269534e-03;-6.246859e-02; 8.964612e-03; 6.281602e-02;-7.338362e-03;-3.049389e-02; 2.627237e-02;-2.696427e-02;-3.105894e-02;-2.927294e-02
-2.248872e-02; 7.249973e-02; 6.900305e-02;-6.993740e-02;-2.206585e-02;-8.369093e-02; 7.532433e-02;-9.359590e-02;-3.435456e-02;-6.397344e-02;-2.940776e-02;-2.493845e-02;-6.571790e-02;-4.010620e-02; 1.220744e-01; 6.322473e-02;-7.528562e-02;-1.162953e-01;-6.214166e-02;-1.205300e-01; 2.728132e-02;-8.414742e-02;-9.597068e-02;-4.445717e-02; 1.015168e-01; 9.199810e-02;-7.841651e-02;-1.893914e-02; 1.523177e-02;-2.170135e-02;-3.333010e-02
-1.143524e-01; 7.542229e-02; 1.876776e-01;-1.457064e-02; 3.125034e-03; 2.541767e-01;-1.692341e-03;-1.973138e-02;-2.369834e-02;-2.671300e-02;-9.150696e-02; 1.408179e-01;-4.617046e-02;-1.055496e-01;-4.465611e-02;-1.279129e-01;-2.305339e-02;-7.481227e-02;-3.665180e-02; 7.663992e-02; 4.644092e-02;-1.568413e-02;-1.009723e-01;-5.415773e-02; 3.895362e-02; 1.275993e-02;-1.885352e-02; 5.573588e-02; 1.530998e-02;-5.912731e-02;-2.191919e-02
 4.898918e-02; 5.502737e-04;-2.730076e-02; 1.466514e-02; 2.572521e-02;-1.083345e-01; 1.823490e-02; 5.231944e-02; 8.493613e-02; 4.230111e-02; 4.062895e-02; 5.675765e-02;-5.520168e-02;-4.719667e-03; 2.292610e-02; 2.961243e-02;-5.599910e-02; 5.043614e-02; 2.870839e-02; 2.697345e-02; 2.566202e-02;-3.320825e-02; 1.509404e-02; 3.048153e-02;-4.406631e-02; 1.794787e-02; 1.725802e-02; 3.721333e-02; 5.366139e-02; 1.207605e-01;-1.676122e-02
 7.554285e-02;-1.295023e-01;-8.621141e-02;-8.036112e-03;-1.469586e-02;-2.184062e-02;-9.744510e-03; 9.081922e-02; 5.040845e-02; 5.027131e-02; 5.564127e-02; 1.980419e-03;-1.034044e-01; 5.928031e-02; 7.802879e-02; 3.958953e-02;-3.585502e-02;-1.631124e-03;-1.887272e-02;-2.667381e-02; 5.286035e-02;-4.045205e-02;-5.551199e-02; 6.798906e-03; 3.992338e-02;-7.032901e-02; 1.005948e-02;-1.021460e-01; 2.261514e-02; 5.631078e-02;-3.291775e-02
 4.257806e-02;-1.710393e-02; 4.551611e-03;-7.478433e-02;-8.996482e-02;-1.034138e-01;-5.891300e-03; 2.017755e-03;-3.101408e-02; 2.525260e-02; 2.921636e-02; 7.305856e-02; 5.046627e-02;-1.565211e-02;-1.866054e-02;-4.027229e-02;-3.705165e-02;-2.040201e-02;-8.839415e-02;-9.944467e-02;-5.104616e-03;-6.701323e-02; 4.293109e-02;-7.863559e-03; 1.229052e-02; 6.507655e-02;-1.079815e-02;-8.288381e-02;-3.311520e-02;-1.654454e-02;-3.132589e-02
-2.967597e-02;-2.218213e-02;-6.535128e-02; 4.624112e-03;-3.108857e-03;-8.517014e-02;-2.039365e-02; 3.951672e-02; 4.388937e-02; 3.119182e-02;-4.776592e-02;-9.206619e-02; 2.223238e-02;-3.315271e-02; 2.424540e-02;-4.486430e-02; 2.000467e-02; 3.723887e-02; 1.053763e-02;-5.408560e-03;-7.705153e-02;-5.906561e-02;-4.009715e-02;-2.345732e-02; 2.904110e-02;-4.054511e-02;-1.342499e-02;-2.640769e-02; 1.366756e-02; 2.666760e-02;-3.050237e-02
 5.422082e-02;-8.783976e-02;-5.080490e-02; 1.338262e-02;-2.444031e-02; 7.667006e-02; 1.176636e-02;-2.825084e-02; 6.468611e-02;-1.414998e-02;-8.581443e-02;-7.137589e-02;-7.032136e-02;-5.266559e-04; 6.376246e-02; 4.527615e-02; 7.837397e-02; 1.561811e-01; 9.958776e-02; 8.618128e-02;-1.083434e-01; 4.207920e-02;-3.892659e-02; 2.484719e-02; 1.084136e-02;-6.799614e-02; 5.236891e-02; 7.742744e-02;-6.424576e-03; 5.984470e-02;-2.324600e-02
 1.679427e-02;-3.511139e-02; 6.154307e-03;-2.375759e-02;-3.282921e-02;-1.002241e-01; 6.481494e-02;-5.406810e-03;-1.012058e-02;-3.988590e-02;-5.778344e-02;-1.263993e-01;-1.359777e-03; 9.151142e-02; 1.003216e-01;-4.544458e-02;-3.160594e-02; 6.023882e-02; 3.127831e-02; 8.037329e-03; 9.000954e-03;-5.285452e-02;-4.052628e-02; 1.256088e-02; 2.372256e-02; 1.116249e-01;-5.128074e-03; 6.061532e-02;-2.686001e-03;-4.471231e-03;-2.683054e-02
 2.271465e-02;-1.430764e-01;-5.963958e-02;-2.388567e-02;-5.469586e-02;-8.688547e-02;-8.365583e-03; 3.421969e-03;-2.153910e-02; 3.906183e-02;-5.853837e-02;-7.052117e-02;-7.058319e-02; 2.565611e-02; 4.900163e-02;-1.795330e-02;-1.959109e-02;-5.080773e-02; 1.043393e-02;-1.489606e-01; 3.340537e-03;-9.028540e-02;-2.635007e-03; 5.810685e-03; 2.056137e-02;-9.816041e-02;-1.036508e-02;-6.446333e-02;-5.564199e-02; 2.385924e-02;-9.312727e-02
 6.436569e-02; 7.643884e-02; 5.504038e-02; 8.494411e-02; 1.015365e-01; 2.677361e-02; 4.850357e-02; 6.014737e-02; 8.860906e-02; 5.220942e-02; 3.917471e-02; 2.777098e-03; 3.135979e-02; 5.408819e-02; 3.838497e-02; 5.618701e-02; 1.130034e-01;-1.750749e-02; 1.105191e-01;-5.297149e-02; 5.131755e-02;-6.962195e-02; 9.184662e-02; 7.234927e-02;-4.967102e-03; 4.515956e-02; 2.079048e-02;-2.180305e-02; 4.613337e-02; 1.007194e-01; 1.644011e-02
-1.320260e-02; 1.043753e-02;-5.225396e-02;-4.973556e-02;-5.413282e-02;-6.157586e-02;-2.566411e-02;-2.441468e-03;-2.550433e-02;-4.261333e-02;-1.704637e-02; 1.082431e-01;-8.452123e-02;-1.382713e-02;-8.938386e-03; 4.288467e-02;-4.556986e-02;-4.513632e-02;-4.354539e-02;-2.794095e-02; 2.570235e-02; 3.904699e-02;-5.474755e-02;-5.089193e-02; 7.038909e-02;-5.750695e-02;-2.812366e-02; 2.191393e-02; 4.610815e-02;-3.533210e-02;-5.304042e-02
-4.446315e-02; 2.171102e-02;-2.343688e-02;-1.874889e-02; 2.254785e-03; 2.445901e-01;-1.735684e-02;-3.856962e-02;-2.103166e-02;-1.390244e-02;-2.736940e-02; 9.243209e-02; 1.239499e-01;-3.918075e-02;-9.570719e-02;-5.233276e-02;-3.472663e-02;-4.808873e-02;-3.695897e-02; 1.240056e-03;-5.367793e-02; 7.858217e-02;-2.956115e-02;-2.473134e-02;-7.105153e-02;-4.911132e-02;-1.093610e-02;-3.341664e-02; 4.024331e-02;-3.918524e-02; 1.209616e-01
 6.089128e-02;-8.824644e-02;-4.995587e-02; 1.620929e-02; 5.022573e-02;-1.394432e-03; 9.241701e-03; 6.999078e-02; 6.210457e-02; 6.583022e-02; 2.165275e-02;-6.584756e-03; 2.865862e-02;-3.541587e-02;-1.289242e-01;-8.148592e-02; 1.830837e-02; 6.678669e-02; 7.227923e-02; 8.077607e-02; 8.000728e-02; 8.667845e-04; 1.380804e-01; 4.221721e-02;-3.754714e-02; 3.389022e-02; 9.498849e-02; 4.684941e-02; 2.397724e-02; 3.723204e-02; 1.835392e-02
 5.039416e-02; 1.734609e-02; 4.663105e-02;-2.815840e-02;-4.085423e-02; 8.284493e-02; 2.116876e-02; 6.656374e-02; 8.856640e-02; 1.283934e-02; 6.359488e-02; 5.390744e-02; 5.262445e-02;-1.584902e-02;-5.470287e-03;-2.286206e-02; 1.058467e-02; 3.859112e-03;-4.609270e-02;-4.857641e-02; 3.441786e-02; 2.082512e-02; 4.848586e-02;-1.536401e-02; 5.683909e-02;-1.348926e-02;-3.407370e-03; 8.802531e-02;-4.131751e-02;-9.313232e-03; 5.316165e-02
-1.634059e-02; 1.686441e-01; 8.046862e-02;-6.044165e-02; 7.444140e-02; 2.092139e-01; 6.262114e-02;-1.085713e-02;-5.210119e-02;-9.053596e-02; 6.296473e-02; 2.403377e-01; 1.355501e-02;-4.443302e-02;-9.050865e-02;-4.307492e-02;-6.880868e-02;-4.962442e-02;-3.557336e-02;-6.461530e-02; 3.298215e-02; 3.514275e-03; 6.549892e-02;-5.777454e-02; 4.174997e-02;-5.710877e-02;-9.665931e-03;-8.683417e-02;-9.121952e-02; 5.318910e-04;-4.114272e-03
 1.167595e-01; 4.738708e-02; 5.771976e-02;-1.340442e-02;-1.083563e-02; 2.975205e-02; 3.956268e-02; 1.259997e-01; 6.646277e-02;-2.410265e-02; 8.846907e-02; 8.425575e-03; 6.084685e-02; 8.107518e-02; 1.568912e-01; 1.403683e-01;-8.745082e-03;-7.223942e-02; 6.625412e-02; 3.033495e-02;-7.434024e-02; 1.485770e-02; 7.209361e-02; 4.252738e-02; 8.822358e-02;-6.919417e-02; 1.735557e-02;-1.093999e-01; 1.076868e-01; 1.174712e-01; 5.835467e-02
