Astro;CA1-ProS;CA2-IG-FC;CA3;Car3;CR;CT SUB;DG;Endo;L2 IT ENTl;L2 IT ENTm;L2/3 IT CTX;L2/3 IT ENTl;L2/3 IT PPP;L2/3 IT RHP;L3 IT ENT;L4 RSP-ACA;L4/5 IT CTX;L5 IT CTX;L5 PPP;L5 PT CTX;L5/6 IT TPE-ENT;L5/6 NP CTX;L6 CT CTX;L6 IT CTX;L6 IT ENTl;L6b CTX;L6b/CT ENT;Lamp5;Micro-PVM;NP PPP;NP SUB;Oligo;Pvalb;SMC-Peri;Sncg;Sst;Sst Chodl;SUB-ProS;Vip;VLMC
 1.596362e-02;-3.823506e-02;-7.485848e-03;-5.803436e-02;-1.125916e-01;-2.419269e-02; 4.347588e-07;-4.964739e-02;-1.408021e-01;-4.958776e-02;-5.441767e-02; 3.812718e-02; 5.992470e-02; 6.034782e-02;-2.756045e-02; 9.471928e-02; 9.509752e-02; 6.453247e-02; 6.965918e-02;-6.049171e-02; 2.678085e-02; 3.317272e-02; 1.515224e-02; 5.628042e-02; 9.735959e-03;-9.801310e-02; 4.095937e-02; 1.367755e-02;-4.100896e-02;-1.339689e-01;-1.783016e-02;-1.148490e-02;-4.071492e-02;-7.140195e-02;-1.299611e-01;-3.806260e-02;-3.332765e-02;-7.113370e-02; 2.080728e-02;-2.579800e-02;-1.430999e-02
-7.924499e-02; 5.657188e-03;-8.497065e-02;-9.401176e-02;-6.754117e-02;-4.986927e-02;-4.343740e-03;-1.835070e-02;-1.848974e-01; 1.180553e-02;-2.719527e-03;-2.715466e-02;-4.913061e-02;-4.246955e-02;-2.309032e-03;-1.665592e-02;-4.513345e-02;-1.811366e-02;-4.356892e-02;-1.303346e-03;-3.790479e-02; 3.152736e-03;-1.340405e-02;-6.071816e-02;-5.114799e-02;-5.744160e-02; 1.770229e-03;-2.132444e-02; 1.155524e-02;-6.785975e-02;-3.001056e-02; 1.828664e-03;-7.768716e-02; 8.636626e-02;-1.236694e-01; 5.057997e-02; 1.083693e-01; 3.932146e-02; 1.775880e-02;-1.396955e-01; 5.632770e-02
-2.455221e-02;-7.588781e-02;-1.023425e-01;-7.351069e-02;-1.070477e-01;-6.541733e-02;-1.127493e-01;-5.317524e-02;-2.760915e-02;-1.803691e-01;-7.058325e-02;-5.789759e-02;-3.139098e-02;-5.698627e-02;-6.350548e-02;-1.751989e-02; 2.275319e-02;-7.369398e-02;-5.819985e-02;-1.479952e-02;-2.480483e-02;-3.571169e-02;-1.488113e-02;-2.024135e-02;-5.481245e-02;-6.047307e-02;-3.426205e-02;-3.140261e-02;-2.387033e-03;-5.215362e-02; 9.444558e-03;-2.196701e-02;-1.840321e-02;-1.353385e-02; 4.359057e-02;-4.207615e-02;-2.813028e-02;-2.580949e-02; 2.066938e-02; 1.267294e-02;-3.711951e-02
 3.869827e-02;-2.262943e-02;-3.287319e-02;-3.613563e-02;-6.166457e-03; 6.539135e-02; 5.836680e-02;-6.523455e-02; 1.360889e-01; 1.563508e-02;-6.704896e-02; 4.287319e-02; 1.309734e-02; 3.488138e-02;-3.561799e-02;-9.326533e-03;-3.042888e-02; 6.679167e-02; 6.184378e-02;-7.082180e-02; 6.398160e-02; 2.488936e-02;-8.110657e-03; 8.107761e-02; 3.889275e-02; 4.120093e-02; 1.255833e-01; 3.951265e-02; 8.564556e-02; 7.408584e-02; 1.225574e-02; 2.586369e-02; 8.799264e-02; 2.498859e-02; 4.925679e-02; 4.211530e-02; 1.391385e-01; 1.022534e-01; 2.236971e-02; 7.784723e-02; 7.777841e-02
-1.571620e-02; 1.150372e-02;-2.246806e-02;-6.612317e-03;-2.604700e-02;-3.187205e-02;-1.008441e-02; 2.700541e-03;-4.468886e-02;-2.173769e-02;-4.741837e-02; 2.821711e-02;-2.376243e-02; 1.317960e-03;-7.377835e-03;-1.815394e-02;-8.483183e-03; 1.686301e-02;-1.510057e-04;-1.549625e-02;-1.614022e-02;-2.489388e-02; 6.683317e-02;-2.359993e-02;-1.230805e-02;-3.726119e-02; 6.779830e-03;-1.648978e-02;-2.164661e-02; 1.227723e-02; 3.191185e-03;-6.458139e-04;-6.261454e-02;-2.382447e-02;-2.953633e-02;-1.993840e-02;-3.239531e-02; 1.464333e-02;-1.617791e-02; 5.557148e-02;-1.568848e-02
-9.460807e-02;-2.551745e-02;-2.038467e-02;-8.029431e-02;-9.720945e-04;-2.037477e-02;-1.533590e-02;-6.947637e-03; 1.517538e-03; 1.947429e-02;-1.379552e-02; 2.860409e-02; 4.503250e-02;-1.867950e-02;-4.042708e-02; 2.107467e-02;-3.410683e-02;-1.512355e-02;-5.600076e-03;-1.961766e-02; 1.960842e-02;-3.071355e-02; 1.399414e-02; 2.116984e-02;-1.839547e-02; 2.239811e-02; 2.831980e-02; 2.779031e-03; 3.330082e-02;-4.470221e-02;-2.750839e-02; 3.965631e-03; 1.300716e-03;-2.371449e-02; 2.065476e-03;-1.920445e-02; 5.130032e-02; 1.221903e-02; 8.186105e-02; 1.407323e-02; 8.328228e-02
-3.964605e-02; 6.115165e-03;-5.330418e-02;-8.183846e-02;-3.637775e-03;-4.774564e-02; 1.829461e-02;-7.691179e-02;-3.747560e-02; 4.172133e-02;-4.876101e-02; 4.055988e-02; 2.957333e-03;-2.705972e-03;-7.926446e-03; 4.639222e-02; 2.936782e-02; 8.490696e-03; 1.376809e-02;-6.063790e-02; 1.475512e-02;-3.144847e-02; 2.682921e-03;-4.435145e-03; 9.458296e-03;-8.949320e-02;-1.745885e-03; 5.504705e-04;-9.412665e-03;-6.712420e-02;-3.398367e-02;-2.995274e-02;-9.475446e-03;-4.060894e-02;-9.402815e-02;-3.121881e-02; 2.964126e-02;-1.124505e-02;-1.632711e-02;-7.822796e-03;-6.125536e-02
-9.712647e-02; 2.924877e-02; 4.417235e-02;-3.629388e-04; 4.413407e-02; 3.961214e-02;-2.609191e-02; 1.281783e-02;-6.546684e-02; 3.414661e-02; 9.329757e-03;-2.794117e-02; 8.835171e-03;-6.987296e-03; 2.461471e-02;-4.334193e-02;-4.328414e-02;-4.291777e-03; 1.174350e-02; 5.103713e-02; 3.608899e-02;-5.987180e-04; 6.591648e-02; 4.904218e-02; 2.569948e-02; 3.490041e-02; 5.894446e-02; 7.051203e-02; 1.539909e-02; 1.249998e-02; 2.342551e-03; 3.235295e-02;-2.233629e-02; 6.099224e-02;-8.272838e-02; 6.448962e-02;-2.119595e-02; 8.829739e-03; 3.642506e-02;-8.678028e-02; 4.748694e-02
-3.446457e-02; 2.115507e-02; 6.742121e-02; 5.247550e-02; 3.514338e-02; 1.132883e-02;-2.252951e-02; 3.049773e-02; 3.482318e-02;-1.331611e-02; 1.554129e-02;-1.914428e-02;-1.118461e-02;-4.554531e-02;-7.494125e-03; 1.583163e-02; 3.261400e-02;-2.760271e-02; 4.924901e-03; 2.490116e-02; 5.242224e-03;-5.099609e-03;-1.512237e-02; 2.837981e-02; 1.589686e-03;-1.850503e-02; 3.910387e-02; 1.689762e-02;-7.972963e-02; 2.270873e-02;-1.769606e-02; 1.404764e-02;-4.147147e-03; 2.055033e-03; 4.311191e-02; 4.208897e-02;-2.748778e-03;-7.152692e-02;-3.384046e-02;-3.235406e-03;-6.041329e-02
-7.027318e-02;-8.442394e-02;-6.342040e-02;-9.433654e-02; 2.272622e-02; 9.191188e-03;-1.233832e-03;-8.553073e-02; 1.828712e-02;-7.090235e-03;-3.894414e-03;-6.155465e-02;-5.465777e-02;-1.263052e-02;-6.444028e-02; 2.079132e-03; 4.419836e-03;-1.318585e-03;-2.535584e-02;-4.997200e-02;-2.589823e-02;-3.132956e-02; 2.704444e-02;-2.577823e-02;-5.627520e-02;-5.704892e-02; 6.395520e-03; 1.472345e-02; 7.636616e-02;-3.183645e-02; 4.585201e-02; 5.407889e-03; 1.252898e-02; 2.396081e-04;-4.377071e-02;-4.355462e-02; 1.847274e-02; 1.144865e-02; 8.187506e-02; 8.488296e-03;-2.472332e-02
-1.047525e-01; 3.421621e-02;-3.679264e-03; 3.898394e-02; 8.775379e-02; 5.397827e-02; 3.612111e-02;-5.554827e-03; 7.771937e-02; 3.797966e-02;-7.062030e-03; 6.350148e-02;-2.308146e-02; 5.140102e-02; 2.755454e-02;-2.897502e-02; 5.061949e-02; 1.171794e-02; 2.883421e-02; 6.305206e-02; 7.677025e-03; 1.673105e-02; 9.265202e-02; 3.847701e-02; 8.617413e-02; 6.428267e-03; 8.418011e-02; 7.432403e-02; 1.334869e-02; 4.740548e-03; 9.689495e-02; 3.971963e-02; 9.367755e-02; 2.839224e-02;-3.910281e-04; 9.817196e-03; 1.214961e-01; 9.007073e-02; 1.214945e-01;-5.722277e-03; 1.081246e-01
 8.137748e-02; 1.367900e-01; 6.192587e-02; 2.767934e-02; 5.516556e-02; 6.186855e-02; 4.522356e-02; 1.278496e-01;-2.310673e-02;-1.150743e-03;-3.480925e-02; 8.838370e-03; 2.605062e-02; 4.339721e-02; 2.469319e-02;-9.136571e-03;-9.657480e-02;-1.210758e-02;-7.440728e-02; 5.411334e-02;-2.523854e-02;-3.234813e-02; 1.127620e-02; 2.433179e-02; 1.091026e-02; 1.605390e-02;-1.431924e-02;-6.551658e-03; 4.291185e-02;-3.922068e-02; 1.171995e-02; 1.062425e-02; 1.140382e-01; 3.102262e-02; 6.458159e-02; 8.689072e-02; 3.474465e-02; 1.798693e-02;-1.371590e-02; 3.390571e-02; 2.242680e-02
 1.099438e-01;-1.036364e-01;-1.792409e-01;-8.670162e-02;-5.277361e-02;-5.561211e-02;-7.844869e-02;-1.570143e-01; 1.116013e-01;-4.093035e-02;-8.205647e-02;-2.302357e-02;-8.748094e-02;-7.284749e-02;-2.334351e-02;-5.282140e-02;-3.234859e-02;-3.385011e-02;-2.958472e-02;-7.302388e-02;-2.564424e-02;-4.960562e-02; 1.946101e-03;-3.380232e-02;-1.424941e-02;-8.377206e-02;-7.470263e-02;-1.047472e-01; 7.659832e-02; 8.270982e-02;-7.809120e-02;-7.278502e-02; 4.939170e-02; 1.016028e-01; 1.813878e-01;-1.008171e-01;-4.843685e-03; 6.487422e-02;-6.730743e-02; 8.814218e-02;-3.523437e-02
 1.352126e-01; 6.880394e-02; 1.316865e-01; 9.157428e-02;-2.108487e-02; 6.605078e-02; 1.872595e-02; 5.747167e-02;-3.034206e-02; 4.383215e-02; 7.772998e-02;-2.228543e-02; 5.460810e-02; 5.115985e-02; 1.862310e-02; 3.455815e-02; 1.196596e-01; 1.093930e-02; 1.945756e-02; 5.662565e-02; 5.890742e-02; 2.341607e-02; 6.595967e-02; 5.705507e-02; 4.307307e-02; 6.813412e-02; 4.703025e-02; 6.795503e-02; 3.546853e-02; 3.848439e-02; 5.299221e-02; 8.651088e-02; 5.095506e-02; 1.041782e-01; 6.899412e-02; 7.237141e-02; 8.612780e-02; 8.123275e-02; 1.110226e-01; 1.107592e-01; 5.289838e-02
-6.450676e-02; 1.162045e-03;-1.142565e-01; 4.044800e-02; 2.513069e-03;-2.900757e-02; 1.199150e-02; 1.290255e-02;-7.190205e-02;-1.443506e-02;-7.927890e-02;-5.073493e-02; 3.751905e-02;-3.233328e-02;-6.996785e-02; 4.592814e-02; 1.059820e-01; 8.499866e-02;-2.592857e-02;-7.352173e-02;-6.593656e-02;-6.305276e-02;-1.896779e-02;-6.172175e-02;-1.169093e-01;-1.024457e-01;-8.101008e-02;-8.367149e-02; 3.459841e-02;-5.654190e-02;-3.140188e-02;-6.524393e-02; 9.516281e-03;-1.897664e-02;-7.975360e-02;-7.660526e-02; 7.340406e-02; 3.682550e-02;-4.984397e-02;-5.691889e-02; 7.987692e-02
 4.181096e-02;-4.058640e-02;-3.001158e-02;-2.766646e-02;-5.014829e-02;-9.941317e-03; 5.002893e-02;-6.428934e-02; 1.672885e-02; 1.791805e-02; 2.454283e-03; 2.170607e-02; 1.786976e-03; 1.013672e-02;-4.296822e-02;-1.701936e-02; 9.972468e-02; 5.941407e-02; 5.071283e-02;-1.922445e-02; 4.893554e-02;-1.238950e-02; 5.397342e-02; 9.394926e-02; 7.685649e-02; 2.807107e-02; 5.764831e-02;-1.841797e-02; 2.614386e-02; 1.203648e-01;-1.837961e-02;-4.045726e-02;-5.454691e-02; 1.281728e-02; 3.068487e-02;-3.326573e-02;-9.127535e-02;-1.775575e-02;-9.843859e-02; 2.839102e-02;-6.702357e-02
-1.027477e-01; 1.548577e-02; 3.714482e-02;-1.501670e-02; 4.297633e-02; 8.072343e-02; 1.204381e-02;-4.120256e-02;-1.352473e-03; 6.051748e-02; 7.390418e-02; 2.611899e-02; 4.542661e-02; 6.671564e-02; 3.435952e-02; 5.403305e-02; 1.191196e-02; 7.058924e-02; 7.542520e-02; 4.808205e-02; 4.643962e-02; 1.211867e-02; 4.570996e-02; 5.997368e-02; 3.435602e-02; 9.386493e-03; 6.982694e-02; 5.572887e-02; 4.198862e-02; 1.507398e-02; 8.770985e-02; 2.616248e-02; 1.312924e-02; 5.761876e-02; 1.276444e-02; 1.373359e-02; 2.362336e-03; 5.122682e-02; 5.405490e-02;-6.561583e-02; 2.502009e-02
-1.552753e-01; 3.051990e-02; 1.305667e-02; 2.303849e-02;-7.630289e-02;-1.331941e-02; 5.780550e-02;-7.946051e-02;-6.047055e-02;-6.228223e-02; 2.231107e-02; 1.534381e-02;-4.277812e-03;-6.397783e-02; 2.443545e-02;-4.552102e-02;-1.957753e-02;-2.735044e-02; 4.148369e-02; 9.664742e-03;-2.025064e-02; 7.383136e-02;-5.484565e-02; 4.552422e-02; 8.528100e-02; 6.250214e-02; 5.608341e-03; 1.983437e-03;-7.104380e-02; 7.711567e-02;-4.135158e-02;-4.390307e-02;-4.076244e-02;-1.146663e-01;-7.760656e-02;-1.179906e-02;-2.233363e-02;-4.416081e-02;-1.285123e-03;-1.876860e-02;-6.339585e-02
 9.050317e-02; 5.801207e-02; 1.857921e-03; 6.466962e-02; 8.135207e-02; 1.471736e-02; 2.080956e-05; 2.021794e-02; 1.653271e-01; 2.051494e-02;-1.006667e-02; 7.557805e-02; 1.497985e-03; 9.432304e-02;-1.236110e-02; 1.182903e-02; 9.072999e-02; 6.803912e-02; 2.513247e-02;-1.418164e-02;-1.399533e-02;-1.031225e-02; 1.317480e-01; 5.111183e-03; 1.518622e-02; 3.637614e-02;-9.625155e-03; 1.665883e-02; 9.336605e-02; 1.536182e-01; 8.705331e-02; 3.588107e-02; 6.771161e-02; 7.351281e-02; 6.329420e-02;-2.617969e-02; 8.891060e-02; 8.884018e-02; 6.854289e-02; 8.897158e-02; 1.317972e-01
-5.506538e-02;-3.990577e-02; 1.445569e-02; 8.523723e-02;-3.915105e-02; 1.520045e-02;-3.829401e-02; 1.082512e-01;-1.086157e-01; 1.425675e-02;-3.511762e-03; 6.570734e-04; 5.284825e-02;-1.671264e-02; 4.256743e-02;-2.293967e-02; 3.997752e-02;-1.676613e-02;-1.897332e-02; 2.177523e-04;-7.273902e-03; 1.308788e-02;-2.703664e-03;-1.501141e-02; 2.624724e-04;-8.253830e-03; 9.387535e-02; 4.130616e-02; 4.673523e-02;-9.274397e-02; 5.942092e-02;-6.622418e-03;-5.330935e-02; 1.981582e-02;-7.824467e-02; 1.115765e-03; 5.362720e-03;-2.981520e-02;-7.079563e-03;-1.057270e-01; 1.702627e-02
 1.041313e-02;-3.225969e-02; 6.716563e-03; 4.433570e-02;-2.547441e-02; 1.983649e-02; 3.659820e-02;-8.130305e-02;-6.273149e-02; 7.690640e-02; 5.235721e-03;-6.007857e-02;-1.010993e-03;-2.855098e-02; 1.193077e-02;-2.373184e-02;-6.792500e-02;-4.743026e-02;-3.036051e-02; 4.483215e-02; 1.655508e-02; 4.005915e-02;-3.157983e-02; 2.740123e-02;-1.043634e-02; 3.925180e-02;-1.577721e-04; 2.492543e-03;-1.580145e-02;-1.425289e-02;-1.075255e-02;-1.439077e-02; 4.334435e-02; 1.474261e-03; 1.317511e-02; 6.838520e-07; 4.152014e-02;-1.059503e-02; 5.715878e-03;-2.893034e-02;-4.369908e-02
-1.783375e-01;-4.093951e-03; 6.850564e-02;-5.820778e-02;-1.445676e-01;-1.353471e-02;-2.660658e-02; 2.923103e-02;-8.362824e-02;-7.093351e-02;-5.077774e-02; 5.844551e-02; 4.446844e-02;-4.526616e-02; 7.653127e-03;-1.032045e-03;-1.760920e-02;-1.582483e-02;-1.082195e-02;-4.591785e-02; 8.684119e-02;-1.721378e-02; 6.437653e-03; 3.969152e-02;-2.869725e-04; 2.727718e-02; 3.199767e-02;-3.774312e-02;-9.081482e-02;-9.698622e-02;-8.559391e-02;-7.696215e-02;-5.226761e-02;-7.554709e-02;-1.396351e-02;-5.934838e-03;-8.593014e-02;-4.356057e-02;-6.845300e-02;-6.930278e-02;-5.772071e-02
-2.743338e-03; 4.623754e-03;-9.954194e-03;-3.340542e-02;-6.474639e-02; 2.702869e-02;-6.061450e-02;-7.041551e-03; 1.162104e-02; 7.729027e-02;-2.818887e-03;-5.459839e-02;-4.909269e-02; 8.282325e-03; 3.630076e-02;-2.689127e-02; 1.599005e-02;-6.486719e-02;-3.923831e-02;-6.997012e-03; 9.531848e-03;-2.624403e-02;-1.839602e-02; 1.850500e-02;-4.925910e-03; 5.020737e-02; 5.240590e-02; 5.019012e-03;-4.812531e-02; 1.002724e-03;-1.726765e-03; 1.309842e-02; 5.836888e-03;-1.332409e-03; 3.476182e-02; 5.738153e-02;-7.114709e-03;-4.798426e-02;-1.027510e-01;-7.978778e-03;-3.923528e-02
 1.756277e-01;-1.960345e-02;-5.374058e-02; 2.466232e-02; 1.199181e-02; 1.206181e-02; 8.193576e-02; 2.181817e-02; 4.436612e-02;-3.799518e-02;-5.734360e-02;-7.046182e-03;-3.311065e-02; 5.254735e-03;-1.500372e-02;-8.263811e-03;-2.739525e-02;-3.036645e-02;-4.985198e-02;-5.933070e-02;-4.025202e-02;-8.034500e-03;-5.528704e-02;-2.480877e-02;-2.090072e-02; 1.277528e-02;-7.388940e-02;-5.908929e-03;-7.935408e-02;-5.980410e-03;-3.960840e-02;-5.546594e-03; 1.072277e-01;-1.465321e-01; 5.184247e-02;-6.824370e-02; 2.353904e-03;-1.840034e-02; 6.035293e-02; 5.724645e-02; 4.922803e-02
-5.046546e-02;-2.530411e-02; 2.109971e-02;-5.122844e-04;-3.134607e-02; 2.051993e-02; 5.339343e-02; 9.120745e-03; 1.389978e-01; 1.196186e-02; 5.711201e-03; 5.454421e-02; 2.688103e-02; 2.119002e-02; 6.833483e-03; 9.050986e-02;-4.398067e-02; 1.082966e-02; 5.352235e-02; 2.887984e-02; 3.261371e-03; 3.665943e-02;-6.850611e-03; 7.933435e-03; 6.687426e-02; 8.413939e-02; 4.375456e-02;-1.179698e-02; 4.460768e-02;-2.368042e-02; 4.577393e-02; 2.980505e-02;-8.844362e-04; 5.614929e-02; 7.424077e-02; 1.790221e-02; 6.430233e-02; 9.557112e-02; 1.048714e-02; 1.680330e-01;-6.299864e-03
-2.800857e-02; 7.292040e-02;-6.066481e-02; 3.483719e-02;-4.996911e-02;-3.409022e-02;-3.163659e-02;-8.050174e-02; 3.278736e-02;-7.183797e-02;-3.231067e-02; 2.689496e-03;-4.051167e-02;-4.792077e-02;-4.011234e-02;-3.408940e-02;-3.475185e-02;-4.863314e-02;-1.368713e-03;-3.234835e-02;-1.016046e-03; 1.322434e-02;-6.976424e-02; 3.371786e-03; 2.467340e-02; 1.015033e-03;-4.643143e-02;-3.574702e-02;-1.663364e-02; 3.087839e-02;-5.461539e-02;-5.178622e-02;-7.847695e-02;-1.807189e-02;-7.758280e-03;-1.579854e-02;-4.338871e-02;-1.765296e-02;-2.055653e-02;-8.297349e-02;-4.724793e-03
