"hgnc_symbol"	"h_entrez_id"	"mgi_symbol"	"mgi_accession_id"	"ensembl_gene_id"
"AATF"	26574	"Aatf"	"MGI:1929608"	"ENSG00000275700"
"AATK"	9625	"Aatk"	"MGI:1197518"	"ENSG00000181409"
"ABAT"	18	"Abat"	"MGI:2443582"	"ENSG00000183044"
"ABCA1"	19	"Abca1"	"MGI:99607"	"ENSG00000165029"
"ABCA12"	26154	"Abca12"	"MGI:2676312"	"ENSG00000144452"
"ABCA13"	154664	"Abca13"	"MGI:2388707"	"ENSG00000179869"
"ABCA17P"	650655	"Abca17"	"MGI:3625331"	"ENSG00000238098"
"ABCA2"	20	"Abca2"	"MGI:99606"	"ENSG00000107331"
"ABCA3"	21	"Abca3"	"MGI:1351617"	"ENSG00000167972"
"ABCA4"	24	"Abca4"	"MGI:109424"	"ENSG00000198691"
"ABCA5"	23461	"Abca5"	"MGI:2386607"	"ENSG00000154265"
"ABCA6"	23460	"Abca6"	"MGI:1923434"	"ENSG00000154262"
"ABCA7"	10347	"Abca7"	"MGI:1351646"	"ENSG00000064687"
"ABCA8"	10351	"Abca8a"	"MGI:2386846"	"ENSG00000141338"
"ABCA8"	10351	"Abca8b"	"MGI:1351668"	"ENSG00000141338"
"ABCA9"	10350	"Abca9"	"MGI:2386796"	"ENSG00000154258"
"ABCB1"	5243	"Abcb1a"	"MGI:97570"	"ENSG00000085563"
"ABCB1"	5243	"Abcb1b"	"MGI:97568"	"ENSG00000085563"
"ABCB10"	23456	"Abcb10"	"MGI:1860508"	"ENSG00000135776"
"ABCB11"	8647	"Abcb11"	"MGI:1351619"	"ENSG00000276582"
"ABCB11"	8647	"Abcb11"	"MGI:1351619"	"ENSG00000073734"
"ABCB4"	5244	"Abcb4"	"MGI:97569"	"ENSG00000005471"
"ABCB5"	340273	"Abcb5"	"MGI:1924956"	"ENSG00000004846"
"ABCB6"	10058	"Abcb6"	"MGI:1921354"	"ENSG00000115657"
"ABCB7"	22	"Abcb7"	"MGI:109533"	"ENSG00000131269"
"ABCB8"	11194	"Abcb8"	"MGI:1351667"	"ENSG00000197150"
"ABCB9"	23457	"Abcb9"	"MGI:1861729"	"ENSG00000150967"
"ABCC1"	4363	"Abcc1"	"MGI:102676"	"ENSG00000278183"
"ABCC1"	4363	"Abcc1"	"MGI:102676"	"ENSG00000103222"
"ABCC10"	89845	"Abcc10"	"MGI:2386976"	"ENSG00000124574"
"ABCC12"	94160	"Abcc12"	"MGI:2441679"	"ENSG00000140798"
"ABCC2"	1244	"Abcc2"	"MGI:1352447"	"ENSG00000023839"
"ABCC3"	8714	"Abcc3"	"MGI:1923658"	"ENSG00000108846"
"ABCC4"	10257	"Abcc4"	"MGI:2443111"	"ENSG00000125257"
"ABCC5"	10057	"Abcc5"	"MGI:1351644"	"ENSG00000114770"
"ABCC6"	368	"Abcc6"	"MGI:1351634"	"ENSG00000275331"
"ABCC6"	368	"Abcc6"	"MGI:1351634"	"ENSG00000091262"
"ABCC8"	6833	"Abcc8"	"MGI:1352629"	"ENSG00000006071"
"ABCC9"	10060	"Abcc9"	"MGI:1352630"	"ENSG00000069431"
"ABCD1"	215	"Abcd1"	"MGI:1349215"	"ENSG00000101986"
"ABCD2"	225	"Abcd2"	"MGI:1349467"	"ENSG00000173208"
"ABCD3"	5825	"Abcd3"	"MGI:1349216"	"ENSG00000117528"
"ABCD4"	5826	"Abcd4"	"MGI:1349217"	"ENSG00000119688"
"ABCE1"	6059	"Abce1"	"MGI:1195458"	"ENSG00000164163"
"ABCF1"	23	"Abcf1"	"MGI:1351658"	"ENSG00000225989"
"ABCF1"	23	"Abcf1"	"MGI:1351658"	"ENSG00000236149"
"ABCF1"	23	"Abcf1"	"MGI:1351658"	"ENSG00000232169"
"ABCF1"	23	"Abcf1"	"MGI:1351658"	"ENSG00000236342"
"ABCF1"	23	"Abcf1"	"MGI:1351658"	"ENSG00000206490"
"ABCF1"	23	"Abcf1"	"MGI:1351658"	"ENSG00000231129"
"ABCF1"	23	"Abcf1"	"MGI:1351658"	"ENSG00000204574"
"ABCF2"	10061	"Abcf2"	"MGI:1351657"	"ENSG00000033050"
"ABCF2-H2BK1"	114483834	"Abcf2"	"MGI:1351657"	"ENSG00000285292"
"ABCF3"	55324	"Abcf3"	"MGI:1351656"	"ENSG00000161204"
"ABCG1"	9619	"Abcg1"	"MGI:107704"	"ENSG00000160179"
"ABCG2"	9429	"Abcg2"	"MGI:1347061"	"ENSG00000118777"
"ABCG2"	9429	"Abcg3"	"MGI:1351624"	"ENSG00000118777"
"ABCG4"	64137	"Abcg4"	"MGI:1890594"	"ENSG00000172350"
"ABCG5"	64240	"Abcg5"	"MGI:1351659"	"ENSG00000138075"
"ABCG8"	64241	"Abcg8"	"MGI:1914720"	"ENSG00000143921"
"ABHD1"	84696	"Abhd1"	"MGI:1931013"	"ENSG00000143994"
"ABHD10"	55347	"Abhd10"	"MGI:2442422"	"ENSG00000144827"
"ABHD11"	83451	"Abhd11"	"MGI:1916008"	"ENSG00000106077"
"ABHD12"	26090	"Abhd12"	"MGI:1923442"	"ENSG00000100997"
"ABHD12B"	145447	"Abhd12b"	"MGI:2685650"	"ENSG00000131969"
"ABHD13"	84945	"Abhd13"	"MGI:1916154"	"ENSG00000139826"
"ABHD14A"	25864	"Abhd14a"	"MGI:1915894"	"ENSG00000248487"
"ABHD14B"	84836	"Abhd14b"	"MGI:1923741"	"ENSG00000114779"
"ABHD15"	116236	"Abhd15"	"MGI:1914727"	"ENSG00000168792"
"ABHD16A"	7920	"Abhd16a"	"MGI:99476"	"ENSG00000231488"
"ABHD16A"	7920	"Abhd16a"	"MGI:99476"	"ENSG00000206403"
"ABHD16A"	7920	"Abhd16a"	"MGI:99476"	"ENSG00000224552"
"ABHD16A"	7920	"Abhd16a"	"MGI:99476"	"ENSG00000236063"
"ABHD16A"	7920	"Abhd16a"	"MGI:99476"	"ENSG00000230475"
"ABHD16A"	7920	"Abhd16a"	"MGI:99476"	"ENSG00000235676"
"ABHD16A"	7920	"Abhd16a"	"MGI:99476"	"ENSG00000204427"
"ABHD16B"	140701	"Abhd16b"	"MGI:3607711"	"ENSG00000183260"
"ABHD17A"	81926	"Abhd17a"	"MGI:106388"	"ENSG00000129968"
"ABHD17B"	51104	"Abhd17b"	"MGI:1917816"	"ENSG00000107362"
"ABHD17C"	58489	"Abhd17c"	"MGI:1917428"	"ENSG00000136379"
"ABHD18"	80167	"Abhd18"	"MGI:1915468"	"ENSG00000164074"
"ABHD2"	11057	"Abhd2"	"MGI:1914344"	"ENSG00000140526"
"ABHD3"	171586	"Abhd3"	"MGI:2147183"	"ENSG00000158201"
"ABHD4"	63874	"Abhd4"	"MGI:1915938"	"ENSG00000100439"
"ABHD5"	51099	"Abhd5"	"MGI:1914719"	"ENSG00000011198"
"ABHD6"	57406	"Abhd6"	"MGI:1913332"	"ENSG00000163686"
"ABHD8"	79575	"Abhd8"	"MGI:1918946"	"ENSG00000127220"
"ABI1"	10006	"Abi1"	"MGI:104913"	"ENSG00000136754"
"ABI2"	10152	"Abi2"	"MGI:106913"	"ENSG00000138443"
"ABI3"	51225	"Abi3"	"MGI:1913860"	"ENSG00000108798"
"ABI3BP"	25890	"Abi3bp"	"MGI:2444583"	"ENSG00000154175"
"ABITRAM"	54942	"Abitram"	"MGI:2677850"	"ENSG00000119328"
"ABL1"	25	"Abl1"	"MGI:87859"	"ENSG00000097007"
"ABL2"	27	"Abl2"	"MGI:87860"	"ENSG00000143322"
"ABLIM1"	3983	"Ablim1"	"MGI:1194500"	"ENSG00000099204"
"ABLIM2"	84448	"Ablim2"	"MGI:2385758"	"ENSG00000163995"
"ABLIM3"	22885	"Ablim3"	"MGI:2442582"	"ENSG00000173210"
"ABO"	28	"Abo"	"MGI:2135738"	"ENSG00000281879"
"ABO"	28	"Abo"	"MGI:2135738"	"ENSG00000175164"
"ABR"	29	"Abr"	"MGI:107771"	"ENSG00000276016"
"ABR"	29	"Abr"	"MGI:107771"	"ENSG00000278741"
"ABR"	29	"Abr"	"MGI:107771"	"ENSG00000159842"
"ABRA"	137735	"Abra"	"MGI:2444891"	"ENSG00000174429"
"ABRACL"	58527	"Abracl"	"MGI:1920362"	"ENSG00000146386"
"ABRAXAS1"	84142	"Abraxas1"	"MGI:1917931"	"ENSG00000163322"
"ABRAXAS2"	23172	"Abraxas2"	"MGI:1926116"	"ENSG00000165660"
"ABT1"	29777	"Abt1"	"MGI:1353636"	"ENSG00000146109"
"ABTB1"	80325	"Abtb1"	"MGI:1933148"	"ENSG00000114626"
"ABTB2"	25841	"Abtb2"	"MGI:2139365"	"ENSG00000166016"
"ABTB3"	121551	"Abtb3"	"MGI:1921257"	"ENSG00000151136"
"ACAA1"	30	"Acaa1a"	"MGI:2148491"	"ENSG00000060971"
"ACAA1"	30	"Acaa1b"	"MGI:3605455"	"ENSG00000060971"
"ACAA2"	10449	"Acaa2"	"MGI:1098623"	"ENSG00000167315"
"ACACA"	31	"Acaca"	"MGI:108451"	"ENSG00000275176"
"ACACA"	31	"Acaca"	"MGI:108451"	"ENSG00000278540"
"ACACB"	32	"Acacb"	"MGI:2140940"	"ENSG00000076555"
"ACAD10"	80724	"Acad10"	"MGI:1919235"	"ENSG00000111271"
"ACAD10"	80724	"Acad12"	"MGI:2443320"	"ENSG00000111271"
"ACAD11"	84129	"Acad11"	"MGI:2143169"	"ENSG00000240303"
"ACAD8"	27034	"Acad8"	"MGI:1914198"	"ENSG00000151498"
"ACAD9"	28976	"Acad9"	"MGI:1914272"	"ENSG00000177646"
"ACADL"	33	"Acadl"	"MGI:87866"	"ENSG00000115361"
"ACADM"	34	"Acadm"	"MGI:87867"	"ENSG00000117054"
"ACADS"	35	"Acads"	"MGI:87868"	"ENSG00000122971"
"ACADSB"	36	"Acadsb"	"MGI:1914135"	"ENSG00000196177"
"ACADVL"	37	"Acadvl"	"MGI:895149"	"ENSG00000072778"
"ACAN"	176	"Acan"	"MGI:99602"	"ENSG00000157766"
"ACAP1"	9744	"Acap1"	"MGI:2388270"	"ENSG00000288169"
"ACAP1"	9744	"Acap1"	"MGI:2388270"	"ENSG00000072818"
"ACAP2"	23527	"Acap2"	"MGI:1925868"	"ENSG00000114331"
"ACAP3"	116983	"Acap3"	"MGI:2153589"	"ENSG00000131584"
"ACAT1"	38	"Acat1"	"MGI:87870"	"ENSG00000075239"
"ACAT2"	39	"Acat2"	"MGI:87871"	"ENSG00000120437"
"ACAT2"	39	"Acat3"	"MGI:109182"	"ENSG00000120437"
"ACBD3"	64746	"Acbd3"	"MGI:2181074"	"ENSG00000182827"
"ACBD4"	79777	"Acbd4"	"MGI:1914381"	"ENSG00000181513"
"ACBD5"	91452	"Acbd5"	"MGI:1921409"	"ENSG00000107897"
"ACBD6"	84320	"Acbd6"	"MGI:1919732"	"ENSG00000230124"
"ACBD7"	414149	"Acbd7"	"MGI:1925495"	"ENSG00000176244"
"ACCS"	84680	"Accs"	"MGI:1919717"	"ENSG00000110455"
"ACCSL"	390110	"Accsl"	"MGI:3584519"	"ENSG00000205126"
"ACD"	65057	"Acd"	"MGI:87873"	"ENSG00000102977"
"ACE"	1636	"Ace"	"MGI:87874"	"ENSG00000159640"
"ACE2"	59272	"Ace2"	"MGI:1917258"	"ENSG00000130234"
"ACE3P"	100129123	"Ace3"	"MGI:3644400"	"ENSG00000224353"
"ACER1"	125981	"Acer1"	"MGI:2181962"	"ENSG00000167769"
"ACER2"	340485	"Acer2"	"MGI:1920932"	"ENSG00000177076"
"ACER3"	55331	"Acer3"	"MGI:1913440"	"ENSG00000078124"
"ACHE"	43	"Ache"	"MGI:87876"	"ENSG00000087085"
"ACIN1"	22985	"Acin1"	"MGI:1891824"	"ENSG00000100813"
"ACKR1"	2532	"Ackr1"	"MGI:1097689"	"ENSG00000213088"
"ACKR2"	1238	"Ackr2"	"MGI:1891697"	"ENSG00000144648"
"ACKR3"	57007	"Ackr3"	"MGI:109562"	"ENSG00000144476"
"ACKR4"	51554	"Ackr4"	"MGI:2181676"	"ENSG00000129048"
"ACLY"	47	"Acly"	"MGI:103251"	"ENSG00000131473"
"ACMSD"	130013	"Acmsd"	"MGI:2386323"	"ENSG00000153086"
"ACO1"	48	"Aco1"	"MGI:87879"	"ENSG00000122729"
"ACO2"	50	"Aco2"	"MGI:87880"	"ENSG00000100412"
"ACOD1"	730249	"Acod1"	"MGI:103206"	"ENSG00000102794"
"ACOT1"	641371	"Acot1"	"MGI:1349396"	"ENSG00000184227"
"ACOT1"	641371	"Acot2"	"MGI:2159605"	"ENSG00000184227"
"ACOT1"	641371	"Acot3"	"MGI:2159619"	"ENSG00000184227"
"ACOT1"	641371	"Acot5"	"MGI:2384969"	"ENSG00000184227"
"ACOT11"	26027	"Acot11"	"MGI:1913736"	"ENSG00000162390"
"ACOT12"	134526	"Acot12"	"MGI:1921406"	"ENSG00000172497"
"ACOT13"	55856	"Acot13"	"MGI:1914084"	"ENSG00000112304"
"ACOT2"	10965	"Acot1"	"MGI:1349396"	"ENSG00000119673"
"ACOT2"	10965	"Acot2"	"MGI:2159605"	"ENSG00000119673"
"ACOT2"	10965	"Acot3"	"MGI:2159619"	"ENSG00000119673"
"ACOT2"	10965	"Acot5"	"MGI:2384969"	"ENSG00000119673"
"ACOT4"	122970	"Acot4"	"MGI:2159621"	"ENSG00000177465"
"ACOT6"	641372	"Acot6"	"MGI:1921287"	"ENSG00000205669"
"ACOT7"	11332	"Acot7"	"MGI:1917275"	"ENSG00000097021"
"ACOT8"	10005	"Acot8"	"MGI:2158201"	"ENSG00000101473"
"ACOT9"	23597	"Acot10"	"MGI:1928940"	"ENSG00000123130"
"ACOT9"	23597	"Acot9"	"MGI:1928939"	"ENSG00000123130"
"ACOX1"	51	"Acox1"	"MGI:1330812"	"ENSG00000161533"
"ACOX2"	8309	"Acox2"	"MGI:1934852"	"ENSG00000168306"
"ACOX3"	8310	"Acox3"	"MGI:1933156"	"ENSG00000087008"
"ACOXL"	55289	"Acoxl"	"MGI:1921371"	"ENSG00000153093"
"ACP1"	52	"Acp1"	"MGI:87881"	"ENSG00000143727"
"ACP2"	53	"Acp2"	"MGI:87882"	"ENSG00000134575"
"ACP3"	55	"Acpp"	"MGI:1928480"	"ENSG00000014257"
"ACP4"	93650	"Acp4"	"MGI:3644563"	"ENSG00000142513"
"ACP5"	54	"Acp5"	"MGI:87883"	"ENSG00000102575"
"ACP6"	51205	"Acp6"	"MGI:1931010"	"ENSG00000162836"
"ACP7"	390928	"Acp7"	"MGI:2142121"	"ENSG00000183760"
"ACR"	49	"Acr"	"MGI:87884"	"ENSG00000283539"
"ACR"	49	"Acr"	"MGI:87884"	"ENSG00000100312"
"ACRBP"	84519	"Acrbp"	"MGI:1859515"	"ENSG00000111644"
"ACRV1"	56	"Acrv1"	"MGI:104590"	"ENSG00000134940"
"ACSBG1"	23205	"Acsbg1"	"MGI:2385656"	"ENSG00000103740"
"ACSBG2"	81616	"Acsbg2"	"MGI:3587728"	"ENSG00000130377"
"ACSF2"	80221	"Acsf2"	"MGI:2388287"	"ENSG00000167107"
"ACSF3"	197322	"Acsf3"	"MGI:2182591"	"ENSG00000176715"
"ACSL1"	2180	"Acsl1"	"MGI:102797"	"ENSG00000151726"
"ACSL3"	2181	"Acsl3"	"MGI:1921455"	"ENSG00000123983"
"ACSL4"	2182	"Acsl4"	"MGI:1354713"	"ENSG00000068366"
"ACSL5"	51703	"Acsl5"	"MGI:1919129"	"ENSG00000197142"
"ACSL6"	23305	"Acsl6"	"MGI:894291"	"ENSG00000164398"
"ACSM1"	116285	"Acsm1"	"MGI:2152200"	"ENSG00000166743"
"ACSM2A"	123876	"Acsm2"	"MGI:2385289"	"ENSG00000183747"
"ACSM2B"	348158	"Acsm2"	"MGI:2385289"	"ENSG00000066813"
"ACSM3"	6296	"Acsm3"	"MGI:99538"	"ENSG00000005187"
"ACSM4"	341392	"Acsm4"	"MGI:2681844"	"ENSG00000215009"
"ACSM5"	54988	"Acsm5"	"MGI:2444086"	"ENSG00000183549"
"ACSS1"	84532	"Acss1"	"MGI:1915988"	"ENSG00000154930"
"ACSS2"	55902	"Acss2"	"MGI:1890410"	"ENSG00000131069"
"ACSS3"	79611	"Acss3"	"MGI:2685720"	"ENSG00000111058"
"ACTA1"	58	"Acta1"	"MGI:87902"	"ENSG00000143632"
"ACTA2"	59	"Acta2"	"MGI:87909"	"ENSG00000107796"
"ACTB"	60	"Actb"	"MGI:87904"	"ENSG00000075624"
"ACTBL2"	345651	"Actbl2"	"MGI:2444552"	"ENSG00000169067"
"ACTC1"	70	"Actc1"	"MGI:87905"	"ENSG00000159251"
"ACTE1P"	399923	"Acte1"	"MGI:2685344"	"ENSG00000172900"
"ACTG1"	71	"Actg1"	"MGI:87906"	"ENSG00000184009"
"ACTG2"	72	"Actg2"	"MGI:104589"	"ENSG00000163017"
"ACTL10"	170487	"Actl10"	"MGI:1917612"	"ENSG00000288649"
"ACTL11P"	389120	"Actl11"	"MGI:1914972"	"ENSG00000234667"
"ACTL6A"	86	"Actl6a"	"MGI:1861453"	"ENSG00000136518"
"ACTL6B"	51412	"Actl6b"	"MGI:1933548"	"ENSG00000077080"
"ACTL7A"	10881	"Actl7a"	"MGI:1343051"	"ENSG00000187003"
"ACTL7B"	10880	"Actl7b"	"MGI:1343053"	"ENSG00000148156"
"ACTL9"	284382	"Actl9"	"MGI:1916731"	"ENSG00000181786"
"ACTMAP"	284325	"Actmap"	"MGI:3041247"	NA
"ACTN1"	87	"Actn1"	"MGI:2137706"	"ENSG00000072110"
"ACTN2"	88	"Actn2"	"MGI:109192"	"ENSG00000077522"
"ACTN3"	89	"Actn3"	"MGI:99678"	"ENSG00000248746"
"ACTN4"	81	"Actn4"	"MGI:1890773"	"ENSG00000282844"
"ACTN4"	81	"Actn4"	"MGI:1890773"	"ENSG00000130402"
"ACTR10"	55860	"Actr10"	"MGI:1891654"	"ENSG00000131966"
"ACTR1A"	10121	"Actr1a"	"MGI:1858964"	"ENSG00000138107"
"ACTR1B"	10120	"Actr1b"	"MGI:1917446"	"ENSG00000115073"
"ACTR2"	10097	"Actr2"	"MGI:1913963"	"ENSG00000138071"
"ACTR3"	10096	"Actr3"	"MGI:1921367"	"ENSG00000115091"
"ACTR3B"	57180	"Actr3b"	"MGI:2661120"	"ENSG00000133627"
"ACTR5"	79913	"Actr5"	"MGI:1924748"	"ENSG00000101442"
"ACTR6"	64431	"Actr6"	"MGI:1914269"	"ENSG00000075089"
"ACTR8"	93973	"Actr8"	"MGI:1860775"	"ENSG00000113812"
"ACTRT1"	139741	"Actrt1"	"MGI:1920610"	"ENSG00000123165"
"ACTRT2"	140625	"Actrt2"	"MGI:1920603"	"ENSG00000169717"
"ACTRT3"	84517	"Actrt3"	"MGI:1923902"	"ENSG00000184378"
"ACVR1"	90	"Acvr1"	"MGI:87911"	"ENSG00000115170"
"ACVR1B"	91	"Acvr1b"	"MGI:1338944"	"ENSG00000135503"
"ACVR1C"	130399	"Acvr1c"	"MGI:2661081"	"ENSG00000123612"
"ACVR2A"	92	"Acvr2a"	"MGI:102806"	"ENSG00000121989"
"ACVR2B"	93	"Acvr2b"	"MGI:87912"	"ENSG00000114739"
"ACVRL1"	94	"Acvrl1"	"MGI:1338946"	"ENSG00000139567"
"ACY1"	95	"Acy1"	"MGI:87913"	"ENSG00000243989"
"ACY3"	91703	"Acy3"	"MGI:1918920"	"ENSG00000132744"
"ACYP1"	97	"Acyp1"	"MGI:1913454"	"ENSG00000119640"
"ACYP2"	98	"Acyp2"	"MGI:1922822"	"ENSG00000170634"
"ADA"	100	"Ada"	"MGI:87916"	"ENSG00000196839"
"ADAD1"	132612	"Adad1"	"MGI:103258"	"ENSG00000164113"
"ADAD2"	161931	"Adad2"	"MGI:1923023"	"ENSG00000140955"
"ADAL"	161823	"Adal"	"MGI:1923144"	"ENSG00000168803"
"ADAM10"	102	"Adam10"	"MGI:109548"	"ENSG00000137845"
"ADAM11"	4185	"Adam11"	"MGI:1098667"	"ENSG00000073670"
"ADAM12"	8038	"Adam12"	"MGI:105378"	"ENSG00000148848"
"ADAM15"	8751	"Adam15"	"MGI:1333882"	"ENSG00000143537"
"ADAM17"	6868	"Adam17"	"MGI:1096335"	"ENSG00000151694"
"ADAM18"	8749	"Adam18"	"MGI:105986"	"ENSG00000278548"
"ADAM18"	8749	"Adam18"	"MGI:105986"	"ENSG00000168619"
"ADAM19"	8728	"Adam19"	"MGI:105377"	"ENSG00000135074"
"ADAM1A"	8759	"Adam1a"	"MGI:2429504"	"ENSG00000229186"
"ADAM1B"	100420505	"Adam1b"	"MGI:2429506"	"ENSG00000226469"
"ADAM2"	2515	"Adam2"	"MGI:1340894"	"ENSG00000276286"
"ADAM2"	2515	"Adam2"	"MGI:1340894"	"ENSG00000104755"
"ADAM20"	8748	"Adam20"	"MGI:2152342"	"ENSG00000134007"
"ADAM20"	8748	"Adam25"	"MGI:1345157"	"ENSG00000134007"
"ADAM20"	8748	"Adam39"	"MGI:3045694"	"ENSG00000134007"
"ADAM21"	8747	"Adam21"	"MGI:1861229"	"ENSG00000139985"
"ADAM22"	53616	"Adam22"	"MGI:1340046"	"ENSG00000008277"
"ADAM23"	8745	"Adam23"	"MGI:1345162"	"ENSG00000114948"
"ADAM24P"	646479	"Adam24"	"MGI:105984"	"ENSG00000214607"
"ADAM28"	10863	"Adam28"	"MGI:105988"	"ENSG00000042980"
"ADAM29"	11086	"Adam29"	"MGI:2676326"	"ENSG00000168594"
"ADAM30"	11085	"Adam30"	"MGI:1918328"	"ENSG00000134249"
"ADAM32"	203102	"Adam32"	"MGI:2653822"	"ENSG00000275594"
"ADAM32"	203102	"Adam32"	"MGI:2653822"	"ENSG00000197140"
"ADAM33"	80332	"Adam33"	"MGI:1341813"	"ENSG00000149451"
"ADAM3A"	1587	"Adam3"	"MGI:102518"	"ENSG00000197475"
"ADAM5"	255926	"Adam5"	"MGI:104730"	"ENSG00000196115"
"ADAM6"	8755	"Adam6a"	"MGI:2676316"	"ENSG00000290516"
"ADAM6"	8755	"Adam6a"	"MGI:2676316"	"ENSG00000282626"
"ADAM6"	8755	"Adam6a"	"MGI:2676316"	"ENSG00000271968"
"ADAM6"	8755	"Adam6a"	"MGI:2676316"	"ENSG00000290844"
"ADAM7"	8756	"Adam7"	"MGI:107247"	"ENSG00000069206"
"ADAM8"	101	"Adam8"	"MGI:107825"	"ENSG00000151651"
"ADAM9"	8754	"Adam9"	"MGI:105376"	"ENSG00000282230"
"ADAM9"	8754	"Adam9"	"MGI:105376"	"ENSG00000168615"
"ADAMDEC1"	27299	"Adamdec1"	"MGI:1917650"	"ENSG00000134028"
"ADAMTS1"	9510	"Adamts1"	"MGI:109249"	"ENSG00000154734"
"ADAMTS10"	81794	"Adamts10"	"MGI:2449112"	"ENSG00000142303"
"ADAMTS12"	81792	"Adamts12"	"MGI:2146046"	"ENSG00000281690"
"ADAMTS12"	81792	"Adamts12"	"MGI:2146046"	"ENSG00000151388"
"ADAMTS13"	11093	"Adamts13"	"MGI:2685556"	"ENSG00000281244"
"ADAMTS13"	11093	"Adamts13"	"MGI:2685556"	"ENSG00000160323"
"ADAMTS14"	140766	"Adamts14"	"MGI:2179942"	"ENSG00000138316"
"ADAMTS15"	170689	"Adamts15"	"MGI:2449569"	"ENSG00000166106"
"ADAMTS16"	170690	"Adamts16"	"MGI:2429637"	"ENSG00000145536"
"ADAMTS17"	170691	"Adamts17"	"MGI:3588195"	"ENSG00000140470"
"ADAMTS18"	170692	"Adamts18"	"MGI:2442600"	"ENSG00000140873"
"ADAMTS19"	171019	"Adamts19"	"MGI:2442875"	"ENSG00000145808"
"ADAMTS2"	9509	"Adamts2"	"MGI:1347356"	"ENSG00000283802"
"ADAMTS2"	9509	"Adamts2"	"MGI:1347356"	"ENSG00000087116"
"ADAMTS20"	80070	"Adamts20"	"MGI:2660628"	"ENSG00000173157"
"ADAMTS3"	9508	"Adamts3"	"MGI:3045353"	"ENSG00000156140"
"ADAMTS4"	9507	"Adamts4"	"MGI:1339949"	"ENSG00000158859"
"ADAMTS5"	11096	"Adamts5"	"MGI:1346321"	"ENSG00000154736"
"ADAMTS6"	11174	"Adamts6"	"MGI:1347348"	"ENSG00000049192"
"ADAMTS7"	11173	"Adamts7"	"MGI:1347346"	"ENSG00000136378"
"ADAMTS8"	11095	"Adamts8"	"MGI:1353468"	"ENSG00000134917"
"ADAMTS9"	56999	"Adamts9"	"MGI:1916320"	"ENSG00000163638"
"ADAMTSL1"	92949	"Adamtsl1"	"MGI:1924989"	"ENSG00000178031"
"ADAMTSL2"	9719	"Adamtsl2"	"MGI:1925044"	"ENSG00000197859"
"ADAMTSL3"	57188	"Adamtsl3"	"MGI:3028499"	"ENSG00000156218"
"ADAMTSL4"	54507	"Adamtsl4"	"MGI:2389008"	"ENSG00000143382"
"ADAMTSL5"	339366	"Adamtsl5"	"MGI:1913798"	"ENSG00000185761"
"ADAP1"	11033	"Adap1"	"MGI:2442201"	"ENSG00000105963"
